id,name,slug,price,compare_price,description,sku,category,product_type,availability,image_url,visible,ribbon,url
80a0dbbc-b0de-17fd-81d1-0981a57817b9,Crafting a Brand Strategy Framework,crafting-a-brand-strategy-framework,$25.00,,"Elevate your business with our exclusive ""Crafting A Brand Strategy"" framework, a comprehensive, instant-download resource crafted specifically for ambitious business owners. This guide is more than just a worksheet; it's a roadmap to defining and refining your brand's identity. Key Features: In-Depth Framework: Step-by-step instructions guide you through the process of crafting a unique and powerful brand strategy. Real-World Case Studies: Learn from the success stories of well-known businesses. Understand what works and how to apply these lessons to your brand. Interactive Exercises: Engaging activities and thought-provoking questions designed to challenge your understanding and push your brand to new heights. Comprehensive Definitions: Clear and concise explanations of key branding terms, ensuring you have the knowledge to make informed decisions. Strategic Questions and Examples: These elements are woven throughout the guide to stimulate your thinking and help apply concepts to your business. Benefits: Build a Memorable Brand: Learn how to create a brand that resonates with your target audience and stands out in the market. Clarity and Direction: This guide provides clarity on the branding process, helping you to define your brand's vision, mission, and values. Empower Your Decision-Making: With this knowledge, you'll be equipped to make strategic decisions that align with your brand's identity. Drive Business Growth: A strong brand strategy is a foundation for business success. Propel your business to the next level with a clear, cohesive brand identity. Perfect For: Business owners looking to carve out a unique space in the market, start-ups seeking to establish a strong brand from the beginning, or established businesses aiming to refresh and revitalize their brand. Download this ""Crafting A Brand Strategy"" framework today and begin your journey to crafting a brand that is not only unique and memorable but also deeply connected to your target audience.",,All Products,digital,In Stock,"https://static.wixstatic.com/media/9bae33_1c88d7e6c2a3484599ca25119334f123~mv2.jpg/v1/fit/w_1080,h_923,q_90/file.jpg",True,Instant Download,https://viktord71.wixsite.com/goldie-c/product-page/crafting-a-brand-strategy-framework
452c4fae-e234-4f0c-a7c4-861e997327d0,Self-Watering Terracotta Pot,self-watering-terracotta-pot,$28.00,,"""Ollas"" is a traditional and natural way to save water, save time, and cultivate your plants better. Bury it, fill it with water, and watch your plants grow! It's a porous terracotta container that is buried in the pot and filled with water. Moisture slowly seeps through the terracotta walls to water the plants directly from the roots. Over time, the roots attach to the outside of the pot and extract water when they need it. Your plants will absorb just what they need, neither more nor less. Super easy! Made in Spain.",olla-auto-riego-de-terracota618981460,All Products,physical,In Stock (3),"https://static.wixstatic.com/media/9bae33_74db1266bd0f457fa6c623f6dd4d966a~mv2.jpg/v1/fit/w_1080,h_1350,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/self-watering-terracotta-pot
d2fcf6aa-eb05-4ba5-a670-c86d7238a989,Ficus Lyrata 'Fiddle Leaf Fig',ficus-lyrata-fiddle-leaf-fig,$24.00,,"Botanical Name : Ficus lyrata Common Name(s) : Fiddle-leaf Fig Description : Native to tropical western Africa, Ficus lyrata, commonly known as the fiddle-leaf fig, has very large green leaves with a leather-like texture. Although Ficus lyrata grows naturally in lowland tropical forests it can thrive in a large range of environments. Place in bright indirect sunlight, on the ground where it can grow up to 6' tall. Keep soil moist. Toxic to pets if ingested.",ficus-lyrata-fiddle-leaf-fig-i1575793860,All Products,physical,In Stock (26),"https://static.wixstatic.com/media/9bae33_0450c94c8cb546279a3cf84d1de029f6~mv2.jpg/v1/fit/w_1800,h_1800,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/ficus-lyrata-fiddle-leaf-fig
3250194d-0809-4167-b196-464a4e86c9cb,Bird's Nest 'Nidus' Fern,bird-s-nest-nidus-fern,$32.00,,"Botanical Name : Asplenium nidus Common Name(s) : Bird's-Nest Nidus Description : Native to the tropical regions of Asia and east Africa, Asplenium Nidus has large, light green, often crinkled leaves. This tropical plant prefers ""rainforest"" conditions in partial shade or indirect sunlight, and high humidity. With the proper environment and attentive care, leaves can grow up to 5 ft long.",,Plants,physical,Out of Stock,"https://static.wixstatic.com/media/9bae33_92a86dc2b47d451f8c4956ad2045a293~mv2.jpg/v1/fit/w_1800,h_1800,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/bird-s-nest-nidus-fern
98172971-7df8-4183-9544-b4ff4e0591a7,Peperomia 'Marble',peperomia-marble,$16.00,,"Botanical Name : Peperomia Common Names : Marble Peperomia, Radiator Plant Description : The Peperomia is a perennial epiphyte native to the tropical regions of Central and South America. It's short and sturdy stems wield thick, circular leaves which are a deep jade color and retains most of its water. The Peperomia is very easy to care for and requires similar care habits to most succulents making it a great addition to any desk or shelf.",,Plants,physical,In Stock (100),"https://static.wixstatic.com/media/9bae33_64c2cf7fb6be46b99435a0fe7d4d1dc6~mv2.jpg/v1/fit/w_1800,h_1800,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/peperomia-marble
08e8ecc5-6bf3-4358-a54a-3acdd99ea873,Jade Succulent,jade-succulent,$18.00,,"Botanical Name : Crassula ovata Common Names : Jade succulent, Money Plant Description : The crassula ovata is an evergreen succulent native to South Africa. It has fascinating green finger-like leaves with a red circle on the tips and can produce small pinkish-white star-shaped flowers during late fall and early winter.",jade-succulent-4-pots439711360,Plants,physical,In Stock (100),"https://static.wixstatic.com/media/9bae33_911039ee55154387926da4dba7a174f2~mv2.jpg/v1/fit/w_1800,h_1800,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/jade-succulent
b093e7e1-b232-4e53-84a9-8479e5697ffd,Bubble Handle Mug,retro-ceramic-mug-set,$51.83,,Origin: CN(Origin) Material: Ceramic Type: Coffee Mugs Style: Korean Accessories: With None Shape: Handgrip Specification: 1 Drinkware Type: Mugs Feature: Not Inverted,,"Kitchen, Featured Items, Glassware, housewarming",physical,In Stock (263),"https://static.wixstatic.com/media/9bae33_52e9ad4a6241492db2f9ee7fa8e69e38~mv2.jpg/v1/fit/w_800,h_800,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/retro-ceramic-mug-set
8fc6692d-43d8-4df7-828d-09c092280147,Abstract Glass Mug,abstract-glass-mug,$23.00,,Origin: CN(Origin) Shape: Round Material: Glass Drinkware Type: Glass,,"Kitchen, Glassware, housewarming",physical,In Stock (4082),"https://static.wixstatic.com/media/9bae33_9c40362ffa864354a90fac38319c23a6~mv2.jpg/v1/fit/w_800,h_800,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/abstract-glass-mug
cc7ae11e-ab57-48c5-9650-fe43cad33e4c,Retro Ceramic Vase,retro-vase-set,$65.97,,"Add some texture to your favorite blooms with this simple, neutral vase. Handmade, with round textures. Handmade and shipped within 2-4 weeks.",,"Featured Items, housewarming",physical,In Stock (1266),"https://static.wixstatic.com/media/9bae33_d48ac61daeb54b08bbcc63eeb8bdec0b~mv2.jpg/v1/fit/w_800,h_800,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/retro-vase-set
ba4fca5c-776d-47f5-b14c-3eb788fee788,Retro Glass Mug Set,retro-glass-mug-set,$38.00,,"High borosilicate heat-resistant glass, durable and heat-resistant. This highly hygienic, non-porous glass will never retain flavors, odors, or stains. You fully experience your beverage – and nothing else. Ultra clear glass coffee cups made of lead-free high quality borosilicate-glass, fridge safe. A perfect way to enjoy your cup of tea or coffee Features: Product: Cup and saucer Material: glass Size: 13*8.5*6.35cm",,Glassware,physical,In Stock (7733),"https://static.wixstatic.com/media/9bae33_f3753e43b17a4269ad7aece95ebaf5be~mv2.jpg/v1/fit/w_750,h_1000,q_90/file.jpg",True,,https://viktord71.wixsite.com/goldie-c/product-page/retro-glass-mug-set
